id,descripcion,tipo,estado,fechaEncontrado,lugarEncontrado,fechaDevolucion,reportadoPor,usuarioQueReclama
2,lentes de aro redondo azul ,accesorio,perdido,2025-09-12,Biblioteca,,pre25468@uvg.edu.gt,
3,ipad 12va generacion,electronico,pendiente_validacion,2025-10-21,CIT-315B,,pep11111@uvg.edu.gt,
10,caca,documento,recuperado,2025-10-21,CIT,2025-10-22,pep11111@uvg.edu.gt,
11,lola,electronico,recuperado,2025-10-21,CIT,2025-10-21,pre25468@uvg.edu.gt,pep11111@uvg.edu.gt
12,yeti azul bonito,recipientes,encontrado,2025-10-22,CIT-618,,,
13,objeto,documento,perdido,2025-12-12,cit,,,
14,pachon,documento,perdido,2025-12-12,CIT,,,
15,estuche,ropa,encontrado,2025-12-12,CIT,,,
1,billetera de cuero cafe,accesorio,pendiente_validacion,2025-10-24,CIT-618,,,pre25468@uvg.edu.gt
16,pachon gris marca mana,recipientes,pendiente_validacion,2025-10-24,biblioteca,,pre25468@uvg.edu.gt,pep11111@uvg.edu.gt
17,perdido,accesorio,perdido,2025-10-26,Cit-315,,pre25468@uvg.edu.gt,
